Score,Sentiment,Clean_Text
5,positive,bought sever vital can dog food product found good qualiti product look like stew process meat smell better labrador finicki appreci product better
1,negative,product arriv label jumbo salt peanutsth peanut actual small size unsalt sure error vendor intend repres product jumbo
4,positive,confect around centuri light pillowi citrus gelatin nut case filbert cut tini squar liber coat powder sugar tini mouth heaven chewi flavor high recommend yummi treat familiar stori cs lewi lion witch wardrob treat seduc edmund sell brother sister witch
2,negative,look secret ingredi robitussin believ found got addit root beer extract order good made cherri soda flavor medicin
5,positive,great taffi great price wide assort yummi taffi deliveri quick taffi lover deal
4,positive,got wild hair taffi order five pound bag taffi enjoy mani flavor watermelon root beer melon peppermint grape etc complaint bit much redblack licoriceflavor piec particular favorit kid husband last two week would recommend brand taffi delight treat
5,positive,saltwat taffi great flavor soft chewi candi individu wrap well none candi stuck togeth happen expens version fraling would high recommend candi serv beachthem parti everyon love
5,positive,taffi good soft chewi flavor amaz would definit recommend buy satisfi
5,positive,right most sprout cat eat grass love rotat around wheatgrass rye
5,positive,healthi dog food good digest also good small puppi dog eat requir amount everi feed
5,positive,dont know cactus tequila uniqu combin ingredi flavour hot sauc make one kind pick bottl trip brought back home us total blown away realiz simpli couldnt find anywher citi bummednow magic internet case sauc ecstat itif love hot saucei mean realli love hot sauc dont want sauc tasteless burn throat grab bottl tequila picant gourmet de inclan realiz tast never want use saucethank person incred servic
5,positive,one boy need lose weight didnt put food floor chubbi guy proteinrich byproduct food higher skinni boy jump higher food sit go stale realli go food chubbi boy lose ounc week
1,negative,cat happili eat felida platinum two year got new bag shape food differ tri new food first put bowl bowl sit full kitti touch food ive notic similar review relat formula chang past unfortun need find new food cat eat
4,positive,good flavor came secur pack fresh delici love twizzler
5,positive,strawberri twizzler guilti pleasur yummi six pound around son
5,positive,daughter love twizzler shipment six pound realli hit spot exact would expectsix packag strawberri twizzler
2,negative,love eat good watch tv look movi sweet like transfer zip lock baggi stay fresh take time eat
5,positive,satisfi twizzler purchas share other enjoy definit order
5,positive,twizzler strawberri childhood favorit candi made lancast pennsylvania candi inc one oldest confectioneri firm unit state subsidiari hershey compani compani establish young smyli also make appl licoric twist green color blue raspberri licoric twist like alli keep dri cool place recommend put fridg accord guin book record longest licoric twist ever made measur feet weight pound kg made candi inc recordbreak twist becam guin world record juli product kosher thank
5,positive,candi deliv fast purchas reason price home bound unabl get store perfect
5,positive,husband twizzler addict weve bought mani time amazon govern employe live oversea cant get countri assign theyv alway fresh tasti pack well arriv time manner
5,positive,bought husband current oversea love appar staff like alsother generous amount twizzler bag well worth price
5,positive,rememb buy candi kid qualiti hasnt drop year still superb product wont disappoint
5,positive,love candi weight watcher cut back still crave
5,positive,live us yrs miss twizzler go back visit someon visit alway stock say yumsel mexico faith buyer often abl buy right
5,positive,product receiv advertis
1,negative,candi red flavor plan chewi would never buy
4,positive,glad amazon carri batteri hard time find elsewher uniqu size need garag door openergreat deal price
5,positive,got mum diabet need watch sugar intak father simpli choos limit unnecessari sugar intak shes one sweet tooth love toffe would never guess theyr sugarfre great eat pretti much guilt free impress ive order w dark chocol take offic ill eat instead snack sugari sweetsthes excel
5,positive,dont know cactus tequila uniqu combin ingredi flavour hot sauc make one kind pick bottl trip brought back home us total blown away realiz simpli couldnt find anywher citi bummednow magic internet case sauc ecstat itif love hot saucei mean realli love hot sauc dont want sauc tasteless burn throat grab bottl tequila picant gourmet de inclan realiz tast never want use saucethank person incred servic
5,positive,never huge coffe fan howev mother purchas littl machin talk tri latt macciato coffe shop better one like product usual noncoffe drinkerth littl dolch guesto machin super easi use prepar realli good coffeelattecappuccinoetc less minut water heat would recommend dolc gusto anyon good price iam get one
5,positive,offer great price great tast thank amazon sell productstar
4,positive,mccann instant oatmeal great must oatmeal scrape togeth two three minut prepar escap fact howev even best instant oatmeal nowher near good even store brand oatmeal requir stovetop prepar still mccann good get instant oatmeal even better organ allnatur brand tri varieti mccann varieti pack tast good prepar microwav ad boil water conveni extrem time issuemccann use actual cane sugar instead high fructos corn syrup help decid buy product real sugar tast better harm stuff one thing like though mccann use thicken oat plus water plus heat make creami tasti oatmeal without need guar gum conveni product mayb guar gum sit bowl instant mccann becom thick gluey
4,positive,good instant oatmeal best oatmeal brand use cane sugar instead high fructous corn syrup better sweet doctor say form sugar better great cold morn dont time make mccann steel cut oat appl cinnamon best mapl brown sugar regular good plus dont requir doctor actual tell three flavor apart
5,positive,instant oatmeal becom soggi minut water hit bowl mccann instant oatmeal hold textur excel flavor good time mccann regular oat meal excel may take bit longer prepar time morn best instant brand ive ever eaten close second noninst varietymccann instant irish oatmeal varieti pack regular appl cinnamon mapl brown sugar box pack
4,positive,mccann instant irish oatmeal varieti pack regular appl cinnamon mapl brown sugar box pack fan mccann steelcut oat thought id give instant varieti tri found hardi meal sweet great folk like postbariatr surgeri need food palat easili digest fiber wont make bloat
5,positive,us celiac diseas product lifesav could better get almost half price groceri health food store love mccann instant oatmeal flavorsthanksabbi
5,positive,els need know oatmeal instant make half cup lowfat milk add raisinsnuk second expens kroger store brand oatmeal mayb littl tastier better textur someth still oatmeal mmm conveni
4,positive,visit friend nate morn coffe came storag room packet mccann instant irish oatmeal suggest tri use stash sometim nate dose give chanc say end tri appl cinn found tasteful made water powder milk goe good oj coffe slice toast readi take worldor day least jerri reith
5,positive,order wife reccomend daughter almost everi morn like flavor shes happi happi
5,positive,varieti pack tast greati everi morn cent per meal dont understand everyon earth isnt buy stuff upmapl brown sugar terrif follow appl cinnamon follow regular dont get tire ole thing tast greati boil water small pot empti packet bowl pour boil water watch expand sizetast realli good take minut preparenot sure everyon earth isnt conveni healthi quick excel qualiti extrem cheap
5,positive,mccann make oatmeal everi oatmeal connoisseur whether one like raw pellet state cook half hour sloth addl instant done microwav three minut good that sure beauti instant varieti avail differ flavor well regular varieti pack allow differ tast explor well give chanc experi differ mccann wellknown oatmeal person like mccann cook thicker bodi top brand america appl cinnamon though tend littl liquidi may want experi amount water add microwav oatmeal cook one minut twentyseven second also watch get handl much time water use bad thing consid bad thing offer buy lot youll end six tencount box good whole famili oatmealeat your singl person alon well love oatmeal
5,positive,mccann oatmeal everi morn order amazon abl save almost per boxit great product tast great healthi
5,positive,mccann oatmeal good qualiti choic favorit appl cinnamon find none over sugari good hot breakfast minut excel
5,positive,realli like mccann steel cut oat find dont cook oftenthi tast much better groceri store brand convenientanyth keep eat oatmeal regular good thing
3,neutral,seem littl wholesom supermarket brand somewhat mushi doesnt quit much flavor either didnt pass muster kid probabl wont buy
5,positive,good oatmeal like appl cinnamon best though wouldnt follow direct packag sinc alway come soupi tast could sinc like oatmeal realli thick add milk top
3,neutral,flavor good howev see differc oaker oat brand mushi
4,positive,realli like mapl brown sugar flavor regular fine brown sugar ad appl cinnamon flavor ok quick easi satisfi breakfast ill order brand varieti ill get mapl brown sugar
3,neutral,stuff buy big box store noth healthi carb sugar save money get someth least tast
1,negative,oatmeal good mushi soft dont like quaker oat way go
5,positive,got free packag bottl bloodi mari mix bought seller advertis workedlol tri share buddi love buy notic review yet well hot burn mouth forev hot nice temp perfect us
4,positive,wasnt stock last time look go vermont countri store weston find along jaw harp cranberri horseradish sauc fartless black bean salsa appl cider jelli newton cradl art motion stapl vermont mapl syrupback ass kickin peanut hot activ perspir gland behind ear arm requir beverag advertis glass cold milk box kleenex sinc make nose run look like ordinari peanut alreadi give idea work suspect peopl hit goodi absenc especi colleagu greg go take work earliest opportun empti content ordinari planter peanut see whose cri whose nose run returnth shaken ensur spice even distribut import wash hand consumpt touch eyesyoul go nut asskickin peanutsp share peanut deliber ill probabl give greg jaw harp christma hell insult
3,neutral,use spici food south texa spici doubt much habanero use could take notch two
4,positive,roast home stovetop popcorn popper outsid cours bean coffe bean direct green mexican altura seem wellsuit method first second crack distinct ive roast bean medium slight dark great result everi time aroma strong persist tast smooth velveti yet live
5,positive,roast larg cast iron pan grill bag time smell wonder roast bean tast delici import coffe smooth bitter aftertast numer occas weve send roast bean home friend like much
5,positive,deal awesom arriv halloween indic enough satisfi trick treater love qualiti product much less expens local store candi
5,positive,chocol say great varieti everyth famili love famili six goe fast perfect varieti kit kat rees take five
5,positive,great product nice combin chocol perfect size bag plenti ship prompt kid neighborhood like candi
5,positive,halloween sent bag daughter class share chocol fresh enjoy mani
3,neutral,watch price assort good get gold box purchas price less target
5,positive,bag candi onlin pretti expens cheaper order compet groceri store good combin favorit candi
1,negative,arriv day stale could eat bag
5,positive,use endurolyt product sever year pill powder form long desert ride dirt bike alway found camelbak water heavili lace endurolyt powder over tasti quit effect never got cramp sever hundr mile ride desert race buggi camelbak alway lace powder fizzwhat great product first hammer endurolyt product great endur athlet world use product second conveni hand tablet dissovl fizz third tast great imagin get nice cool drink bodi starv hydrat electrolyt rather get salti tast get refresh lemonlim mango camelbak alway get fizz also drop tablet bottl water whenev exercis nice flavor water chock full electrolyt cannot recommend product hammer product high enough
5,positive,product serv well sourc electrolyt long run bike ridei tri flavor realli like grapefruit flavor aftertast actual like slight carbonationi use hammer product realli like whole product line
5,positive,stuff realli work prevent cramp middl latter stage ride pop water bottl your set flavor fine goe easi
5,positive,us low carb diet littl tablet thingtwo year ago start cycl mani year heart arrhythmia longer ride high heat drink plain water littl research thought electrolyt might issu gatorad wasnt option load carbohydr look around lowcarb altern zero carb sport drink didnt help one day ran across bike shop tri tube themvoilaproblem solved share two friend particular whose problem leg cramp resolv use thesethes guy got right superbl formul simpli work
